faq_id,faq_added_utc,faq_updated_utc,faq_author,content_title,content_text,tags,faq_thresholds,faq_weight,faq_questions,faq_contexts
11,1649337575000,1663771163062,IDinsight,Early labour (before week 37),"*Your labour is premature if it starts before week 37*

If you go into labour before the 37th week of pregnancy, it's considered a premature labour. Generally, a full-term pregnancy is between 37 weeks and 42 weeks. When your baby is born prematurely, extra assistance may be needed in the first few weeks of baby's life. This depends on how early the baby is born. 🗓️

*Reasons to go to the clinic or hospital* 🏥
If you have signs of labour and you are less than 37 weeks pregnant, go to the clinic right away. You may be in labour.","['premature', 'labour', 'early']","[0.1, 0.1, 0.1]",1,,
12,1649337576000,1663771077237,IDinsight,Baby's first teeth,"*Swollen, tender gums are a sign that baby is teething*

Most babies 👶🏽 begin to teethe between 4 and 7 months old, but some may start much later. You don't have to worry if your baby’s teeth come in a bit later. By around 3 years old, your child will have all of her baby teeth.

*Signs and symptoms of teething*

- Swollen, tender gums,
- Fussiness and crying,
- A slightly raised temperature,
- Lots of drool, which can cause a rash on the face,
- Rubbing a cheek or pulling at an ear,
- Bringing the hands to the mouth,
- Changes in eating or sleeping patterns,
- Or, if you are breastfeeding, your baby might start biting while nursing.

*What to do*
- Give baby a solid cold 🧊 teething ring or toy to chew on.
- Rub your baby's gums with your clean finger ☝🏽.

*Reasons to go to the clinic* 🏥
- If baby's gums are bleeding,
- If you see pus at the gums or a swelling of baby's face,
- If your baby has a fever.","['teething', 'baby', 'chew']","[0.1, 0.1, 0.1]",1,,
14,1650271256000,1663771198308,Tanmay,Piles (sore anus) in pregnancy,"*Fresh food helps to avoid piles*

Piles (or haemorrhoids) are swollen veins in your bottom (anus). They are common during pregnancy. Pressure from your growing belly 🤰🏽 and increased blood flow to the pelvic area are the cause. Piles can be itchy, stick out or even bleed. You may be able to feel them as small, soft lumps inside or around the edge or ring of your bottom. You may see blood 🩸 after you pass a stool. Constipation can make piles worse.

*What to do*
- Eat lots of fruit 🍎 and vegetables 🥦 and drink lots of water to prevent constipation,
- Eat food that is high in fibre – like brown bread 🍞, long grain rice and oats,
- Ask a nurse/midwife about safe topical treatment creams 🧴 to relieve the pain,

*Reasons to go to the clinic* 🏥
- If the pain or bleeding continues.","['bottom', 'anus', 'swollen', 'stool']","[0.3, 0.3, 0.3, 0.3]",1,,
15,1650281673000,1663771219266,Tanmay,Swollen feet in pregnancy,"*How to handle swollen feet*

It's common to have swollen feet 🦶🏽 and ankles (edema) in the last months of pregnancy. The swelling is normal and harmless. It's caused by increased blood flow, and the pressure of your uterus on veins that move blood from your pelvis and legs back to your heart . The body holds extra water during pregnancy – so your hands 🖐🏽 may also swell.

*What to do*
- To reduce swelling, lie down and raise your legs🦵🏽.
- Do pregnancy-safe exercise like walking 🚶🏽‍♀️, and drink lots of water.
- If swelling does not go down overnight, visit the clinic to check your blood pressure 🩺.

*Reasons to go to the clinic* 🏥
If you notice swelling of your hands, feet/ankles and face that doesn't improve overnight ,please go to the clinic. Excessive swelling can be a sign of pre-eclampsia. This is a serious pregnancy complication that will need medical attention.","['feet', 'ache']","[0.3, 0.3]",1,,
19,1650387414000,1663771240998,Tanmay,Nosebleeds in pregnancy,"*Don't worry about nosebleeds – unless you bleed heavily*

Nosebleeds 🤧 are common during pregnancy. There is no need to worry unless you lose a lot of blood. Nosebleeds are caused by pregnancy's hormonal changes. These hormonal changes also cause a stuffy or blocked nose during pregnancy.

*What to do – during a nosebleed*
- Lean forward from a sitting or standing position and breathe through your mouth, letting the blood drip into a basin or onto the ground, if outside.
- Slow the blood flow by wrapping ice in a cloth and holding it against the bridge of your nose.

*What to do – after a nosebleed*
- Don't blow your nose or do heavy physical activity for half a day.

*Reasons to go to the clinic 🏥*
- If the bleeding🩸 does not stop, visit the clinic as soon as you can.
- Visit the clinic if you have heart palpitations 💓 and shortness of breath (anemia). ","['nose', 'bleed', 'nosebleed']","[0.3, 0.3, 0.3]",1,,
20,1650966401000,1665482010800,Sam,Gas and bloating in pregnancy,"*Managing gas and bloating during pregnancy*

Bloating in late pregnancy is common, as your body produces the hormone progesterone. This hormone relaxes the muscles in the body – including the small intestine. The result is a slower digestion, leading to a build-up of gas that causes discomfort, bloating, burping or passing gas 💨.

*What to do*
- To manage gas 💨, avoid foods that cause it (e.g. beans, cabbage, onions, broccoli, whole-grain foods, fizzy drinks, beer).
- Drink lots of water🚰 and eat smaller portions of food, especially foods rich in fibre (e.g. oats, apples, avocado, carrots, beetroot, sweet potatoes).
- Wear loose clothing 👚 – tight clothing can be uncomfortable when you bloat.","['gas', 'bloating']","[0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1,,
21,1651140017000,1665487981346,Sam,Feeling short of breath in pregnancy,"*Yes, pregnancy can affect your breathing*

Changes in breathing during pregnancy are common. In the second trimester, your *growing uterus* 🤰🏽 takes up more space. This puts pressure on your diaphragm, the muscle below your lungs – so breathing may become difficult.

You may also experience shortness of breath if you:
- put on a lot of weight during pregnancy
- have a lot of amniotic fluid
- are carrying your baby high, or carrying multiple babies
- have anemia or asthma

Towards the end of the third trimester, baby's larger size pushes the uterus into the diaphragm, pressing on your lungs.

*What to do*
- When feeling breathless, take things slowly 🧘🏽‍♀️
- Sit upright to give your lungs space🧎🏽‍♀️
- Stand straight, arms above your head, taking deep breaths  🌬️
- Sleep propped up on your left side 🛌🏽
- Do light exercise like walking or swimming 🏊🏽‍♀️
- Relax and be still whenever you can 💆🏽‍♀️","['shortness', 'breath']","[0.3, 0.3, 0.3, 0.3, 0.3, 0.3]",1,,
25,1651576463000,1665488385411,Sam,Dizziness in pregnancy,"*Snack often to prevent dizziness*

Dizziness 🥴 in pregnancy is caused by blood pressure changes. Your blood pressure drops in the first trimester, reaches the lowest point mid-pregnancy, then returns to normal by the end of pregnancy. But your body can't always keep up. Sometimes not enough blood flows to your brain, causing dizziness.

Low blood sugar also causes dizziness as your body changes how it uses the energy you get from food.

*What to do*
- Avoid long gaps between meals and snack throughout the day 🍲
- Drink 8 to 10 glasses of water per day 🚰
- Ask the nurse about taking iron pills 💊
- Avoid standing for a long time, or keep your feet moving to increase circulation 🚶🏽‍♀️
- Wear loose, comfortable clothing 👚
- Avoid very hot baths or showers 🛀🏽
- Avoid lying on your back when you reach the middle of your second trimester – rather lie on your left side 🛌🏽
- If you feel dizzy or light-headed, lie down and put your feet up so you don't fall down – and tell the person next to you that you are not feeling well 🥴

*Reasons to go the clinic 🏥*
- If you often feel dizzy or light-headed
- If you faint
- If you have shortness of breath and heart palpitations","['pregnant', 'dizzy', 'headache']","[0.3, 0.3, 0.3, 0.3]",1,,
26,1651579916000,1663771585809,Sam,Fainting in pregnancy,"*Fainting could mean anemia – visit the clinic to find out*

Sometimes a lack of Iron in your blood (anemia) can cause dizziness 🥴 and fainting. If you faint please go to the clinic. A simple blood test can confirm if you are anemic.

*What to do*
- Ask a nurse about taking iron pills 💊
- Prevent fainting by getting up slowly after sitting or lying – especially getting out of a bath 🛀🏽
- If you feel dizzy or light-headed, lie down and put your feet up so you don't fall down. Alert the person next to you that you are not feeling well 🥴

*Reasons to go to the clinic* 🏥
- If you often feel dizzy or light-headed
- If you have shortness of breath and heart palpitations together with feeling light-headed","['fainting', 'shortness', 'breath']","[0.3, 0.3, 0.3]",1,,
27,1651652075000,1663771606599,Sam,Nausea or vomiting in pregnancy,"*Learn when nausea is normal – and when it's not*

Morning sickness 🤢 (nausea) is common in the first 3 months of pregnancy. You may also have vomiting. Some women have strong symptoms while others hardly have any.

Although it's called morning sickness, you may feel nauseous at any time. Morning sickness can be triggered by certain smells and food. Some women experience nausea right into the third trimester. For most women, it will lessen between 4 and 7 months of pregnancy.

*What to do*
- Avoid fatty, spicy food or strong food smells 😤
- Eat dry bread 🍞 or biscuit when you wake up
- Eat a few small meals 🥪 or snacks 🍌 rather than 1 big meal
- If you can't eat, drink lots of water or tea  ☕ – but no alcohol. Add ginger, mint or lemon to your tea to help with nausea

*Reasons to go to the clinic* 🏥
- If you can't keep any food or liquid down
- If you have lost weight
- If you vomit blood
- If you often feel dizzy when you stand up or have been standing for some time","['tired', 'hopeless', 'dizzy']","[0.3, 0.3]",1,,
28,1651661111000,1663771640307,Sam,Tiredness in pregnancy,"*How to cope with pregnancy tiredness*

It's normal to feel tired 💤 during pregnancy, especially in the first 12 weeks. Growing a baby is hard work on your body. Tiredness is also common in the third trimester when sleeping comfortably can be more difficult.

*What to do*
- Ask others to help with household tasks like shopping, cooking or cleaning 🧹.
- Get a good night's rest by sleeping on your side, not your back 🛌🏽.
- Eat healthy foods 🥗 and avoid sweet drinks, coffee or tea in the evening
- Avoid excitement, loud music. arguments or scary movies 🎬 before bed
- Ask for iron pills 💊 at the clinic – or buy some at your pharmacy.

*Reasons to go to the clinic* 🏥
- If, as well as feeling tired, you also feel light-headed/dizzy and short of breath. These symptoms can be a sign of shortage of Iron in your blood (anemia).
- If you feel hopeless, sad and have no interest in daily activities. This can be signs of depression.","['tired', 'depression', 'uncomfortable']","[0.3, 0.3, 0.3]",1,,
29,1651667060000,1663771661193,Sam,Baby's due date,"*Find out your baby's due date*

It's important that you know your baby's due date so that you are prepared, the clinic can follow your pregnancy journey 🤰🏽, and MomConnect can give you correct pregnancy info.

Your due date is calculated by adding 7 days and 9 months to the first day of your last menstruation🩸. Due date calculator is an online due date calculator. Your due date may change after an ultrasound scan at the clinic. Ultrasound scans between 8 and 12 weeks are the most reliable in calculating the due date.

It's highly unlikely that you will deliver on your exact due date. A full-term pregnancy is between 37 weeks and 42 weeks. So be ready to deliver from 37 weeks. A premature baby is delivered before 37 weeks of pregnancy.

*Reasons to go to the clinic* 🏥
If you reach 42 weeks of pregnancy and are still pregnant, please go straight to the hospital. The nurse/midwife will give you medicine to help your labour start. Don't wait for the 42nd week!","['due', 'date', 'hospital']","[0.3, 0.3, 0.3]",1,,
30,1651667525000,1663771686206,Sam,Baby's movements in pregnancy,"*Feeling your baby move in your tummy...*

Baby's first kicks can feel like flutters, bubbles, light flicking or a gentle tap in your belly🤰🏽. Most women start feeling the baby move between 18 and 20 weeks of their pregnancy. With the growth of your baby, these movements become stronger. Baby movements are a sign that baby is doing well.

Depending on your pregnancy stage, your baby may move around each day. During your third trimester, the baby might kick you below the ribs. Sometimes these jabs can be painful.

*What to do*
- Make time to pay attention to baby's kicks, jabs or rolls. This will help you notice any change in baby's usual movements. During your third trimester, you can count baby's movements twice a day. Sit down have something to drink 🚰 and eat 🥪 and start counting. All kicks, rolls and stretches count. Baby should move 10 times in one hour.

- If you don't feel your baby moving for a few hours, see if you can wake him up by drinking/eating something sweet 🧁, or by listening to some music 🎶.

- If you feel less than 10 movements in 5-6 hours, eat/drink something sweet like juice 🧃or chocolate 🍫.

*When to go to the clinic/hospital* 🏥
If the movements become less, even after sitting down and eating and drinking something sweet or if you are worried, please go to the clinic.","['fetal', 'movements', 'kicks', 'belly']","[0.3, 0.3, 0.3, 0.3]",1,,
31,1651669864000,1663771705966,Sam,Danger signs in pregnancy,"*Danger signs to visit the clinic right away*

Please go to the clinic straight away if you experience any of these symptoms:

*Pain*
- Pain in your stomach, swelling of your legs🦵🏽or feet 🦶🏽 that does not go down overnight,
-  fever, or vomiting along with pain and fever 🤒,
- pain when you urinate 🚽,
- a headache 🤕 and you can't see properly (blurred vision),
- lower back pain 💢 especially if it's a new feeling,
- lower back pain or 6 contractions❗within 1 hour before 37 weeks (even if not sore).

*Movement*
- A noticeable change in movement or your baby stops moving after five months.

*Body changes*
- Vomiting and a sudden swelling of your face, hands or feet,
- A change in vaginal discharge – becoming watery, mucous-like or bloody,
- Bleeding or spotting.

*Injury and illness*
- An abdominal injury like a fall or a car accident,
- COVID-19 exposure or symptoms 😷,
- Any health problem that gets worse, even if not directly related to pregnancy (like asthma).","['signs', 'injury', 'belly', 'changes']","[0.3, 0.3, 0.3, 0.3]",1,,
32,1651750127000,1663771724871,Sam,Finding out if baby is a boy or girl,"*How to find out baby's gender*

There are many myths about guessing if your baby is a boy 👦🏽 or a girl 👧🏽. But the only reliable way to find out is with an ultrasound scan. These scans are rarely wrong.

MomConnect has no way of knowing if your baby is a boy or girl. You get messages from MomConnect using 'he' or 'she' when describing your baby. This is so that every mom can get 1 out of 2 messages about her baby using the correct gender.

*What to do*
If you would like to know your baby's gender you can go for an ultrasound scan when you are 20 or more weeks pregnant.","['gender', 'boy', 'girl', 'scan']","[0.3, 0.3, 0.3, 0.3]",1,,
33,1651752517000,1663772558728,Sam,Safe and healthy foods to eat in pregnancy,"*Foods that are safe to eat during pregnancy*

During pregnancy it's important that you eat a healthy diet. Your diet should be a combination of foods that provide protein, vitamins and minerals, healthy types of fat, fibre and fluids. Although it's important to eat a bit more than you normally would, you don't have to 'eat for two'.

*What to do*
- Drink at least 8 glasses of water per day. 🚰
- Eat foods containing iron – like maize meal, bread, nuts, fully cooked eggs, meat, fish, mopane worms, chicken, and green vegetables. 🥦
- Vitamin C improves the absorption of iron into your body. Oranges, tomatoes and sweet potatoes are full of vitamin C. 🍊
- Eat dairy products daily, such as milk, yogurt and hard cheese. These are high in calcium and protein. 🥛
- Eating lentils, peas, beans, and peanuts will assist with the intake of fibre, protein, iron, folate, and calcium. 🥜
- Wholegrains like brown bread, rice and oats are good options to add fibre to your diet. 🍞","['safe', 'food', 'vegetable', 'fruit']","[0.3, 0.3, 0.3, 0.3]",1,,
34,1651752880000,1663771762960,Sam,Foods and substances to avoid in pregnancy,"*Foods you should avoid during pregnancy*

The foods you like while pregnant may not be what you usually eat. Some foods should be avoided 🙅🏽‍♀️; others should be eaten in small amounts.

There is no level of alcohol 🍷 that has been proven safe during pregnancy. Mothers who drink alcohol have a higher risk of miscarriage or stillbirth. Too much alcohol can cause fetal alcohol syndrome, causing facial deformities and mental disability.

*What to avoid*
- Avoid alcohol, caffeine, fizzy drinks 🥤, energy drinks and soil,
- Avoid too much sugar 🍭, fried or fatty foods,
- Avoid raw eggs 🥚,
- Don't take any herbal or traditional medicines until you check at the clinic 🏥 if they are safe,
- Limit eating liver to once or twice a month. It's rich in vitamins, minerals and protein – but has a high Vitamin A compound that may cause birth defects.

*What to do*
- Make sure meat is cooked well.
- Wash your fruit and vegetables before eating them.","['avoid', 'foods', 'alcohol', 'fats']","[0.3, 0.3, 0.3, 0.3]",1,,
35,1651754022000,1663771784989,Sam,Vaginal discharge in pregnancy,"*Yes, unusual vaginal discharge can signal a problem*

Vaginal discharge may increase during pregnancy and is normally white, thin or thick without a strong smell. If the discharge is accompanied by itching and has a thick, cottage cheese-like consistency or appearance, it's not normal and needs treatment 🩺.

Light spotting or bleeding🩸 can be normal. But if you experience heavy bleeding, cramps, or pain – then go straight to the clinic to be checked.

*What to do*
- Look at the colour of your discharge. It should be clear 💧 or milky white,
- Smell the discharge. It should not have a bad smell 😤,
- Bath regularly and wear clean cotton underwear 🩲.

*Reasons to go to the clinic* 🏥
- If your discharge is yellowish, greenish or thick and cheesy
- When your vagina has a foul or fishy smell
- If the inside of your vagina burns or itches
- If it burns when you urinate
- When sex is painful","['vaginal', 'discharge', 'yellowish', 'greenish']","[0.3, 0.3, 0.3, 0.3]",1,,
36,1651759242000,1663772140214,Sam,Painful and frequent peeing in pregnancy,"*Yes, pain and the need to pee a lot, may be a bladder infection*

A bladder infection (or cystitis), is a common type of urinary tract infection (UTI). Cloudy, bloody or smelly urine 💦 – along with pain or a burning sensation – are signs that you may have a bladder infection.

You will likely want to urinate (pee) more often. This is good, as it helps to move any potential infection out of the bladder. You may also experience pain 💢 or a burning sensation during sex.

In early pregnancy, the need to pee a lot is normal. This is because of hormonal changes that speed up the blood flow to your kidneys, filling your bladder faster and more often. Later in pregnancy, the need to pee may return as your growing baby 🤰🏽 puts pressure on your bladder. This is nothing to worry about.

*What to do*
- If you have signs of a bladder infection, visit the clinic for advice on medicine. Do not take any medication unless it is prescribed.
- Drink lots of clean water and pee often. 💦
- Wipe from front to back at every bathroom visit. 🚽
- Wear loose clothes, change underwear regularly, shower instead of bathing. 🩲
- Avoid coffee, tea, energy drinks or anything else containing caffeine. ☕","['bladder', 'infection', 'pee']","[0.3, 0.3, 0.3]",1,,
37,1651759877000,1663772168473,Sam,Baby's position at birth,"*Baby's position at birth*

The best position for your baby at birth is head-down. This is called the cephalic position. Baby usually turns into this position between weeks 28 to 32 of your pregnancy🤰🏽. Some babies only turn head-down moments before labour begins. There is no need to be worried if your baby hasn't turned before 36 weeks.

During your pregnancy clinic visits, a nurse/midwife 👩🏽‍⚕️ will examine your belly with her hands to feel baby's position. If she suspects baby might be breech, she’ll do an ultrasound for confirmation.

*Breech position* is when the baby's bum or feet are down. Less than 5% of babies are born this way. If your baby doesn’t turn by week 37, your nurse/midwife may try to do an external cephalic version (ECV). During an ECV, she will place her hands 👐🏽 on your stomach and push the baby into the head-down position using firm but gentle pressure.

If your baby stays in breech position, you are likely to give birth by cesarean section. Please talk to your nurse/midwife about your options.

*What to do*
- Make sure you go to all your pregnancy visits🤰🏽 to have baby's position checked.
- If most of your baby's kicks are low in your belly and/or you feel a hard bump below your ribs, please let your nurse/midwife 👩🏽‍⚕️ know.
- There are exercises you can do to help baby to turn. These have not been proven by research 📚 – but won't cause harm to you or baby.

*Tap the link below for*
Info on exercises to turn your breech baby: https://www.babycentre.co.uk/x1053586/how-can-i-turn-my-breech-baby-naturally","['position', 'birth', 'breech']","[0.3, 0.3, 0.3]",1,,
